name;sex;count
Addelynne;F;38
Adden;M;74
Addesyn;F;5
Addi;F;185
Addicus;M;37
Addicyn;F;28
Addie;F;2093
Addiel;M;76
Addielynn;F;23
Addiemae;F;11
Addieson;F;15
Addilee;F;159
Addileigh;F;48
Addiley;F;30
Addiline;F;32
Addilyn;F;5931
Addilyn;M;5
Addilyna;F;5
Addilyne;F;55
Addilynn;F;2782
Addilynne;F;107
Addington;F;10
Addington;M;8
Addis;F;18
Addis;M;72
Addisan;F;5
Addisen;F;548
Addisin;F;30
Addison;F;77043
Addison;M;1642
Addisson;F;59
Addiston;F;5
Addisun;F;16
Addisyn;F;6359
Addisynn;F;150
Addix;M;10
Addlee;F;22
Addleigh;F;8
Addley;F;183
Addlie;F;6
Addlyn;F;28
Addlynn;F;21
Addy;F;501
Addy;M;12
Addylan;F;10
Addylen;F;6
Addylin;F;100
Addyline;F;28
Addylyn;F;40
Addylynn;F;77
Addysan;F;28
Addysen;F;632
Addysin;F;87
Addysn;F;6
Addyson;F;10123
Addyson;M;16
Addysun;F;7
Addysyn;F;108
Ade;F;14
Ade;M;96
Adea;F;61
Adean;M;10
Adeana;F;5
Adebayo;M;26
Adebola;F;16
Adebowale;M;5
Adecyn;F;17
Adedamola;M;80
Adedayo;M;38
Adedeji;M;10
Adedoyin;F;5
Adedoyin;M;5
Adeeb;M;109
Adeeba;F;16
Adeel;M;64
Adeen;M;5
Adeena;F;183
Adeeva;F;5
Adefolarin;M;12
Adein;M;31
Adeja;F;8
Adejah;F;5
Adekunle;M;8
Adel;F;187
Adel;M;386
Adela;F;1848
Adelade;F;32
Adelae;F;139
Adelah;F;5
Adelai;F;152
Adelaida;F;374
Adelaide;F;9677
Adelaina;F;16
Adelaine;F;237
Adelais;F;16
Adelane;F;5
Adelay;F;43
Adelaya;F;10
Adelayda;F;23
Adelayde;F;54
Adelayne;F;6
Adele;F;3883
Adelea;F;6
Adelee;F;68
Adeleen;F;5
Adelei;F;87
Adeleigh;F;127
Adeleine;F;212
Adelen;F;7
Adelena;F;183
Adelene;F;198
Adeley;F;26
Adelfo;M;5
Adelheid;F;106
Adeli;F;48
Adelia;F;746
Adeliah;F;19
Adelice;F;5
Adelicia;F;32
Adelie;F;378
Adeliene;F;8
Adelilah;F;5
Adelin;F;334
Adelina;F;4605
Adelinah;F;11
Adelind;F;48
Adeline;F;21170
Adeline;M;11
Adelinn;F;24
Adelinne;F;42
Adelino;M;5
Adelis;F;56
Adelisa;F;60
Adelise;F;183
Adelita;F;151
Adeliz;F;67
Adeliza;F;10
Adell;F;112
Adella;F;717
Adelle;F;1090
Adelline;F;18
Adellyn;F;74
Adellynn;F;11
Adely;F;90
